program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day
Econometrics and Operations Research,no,no,yes,no,female,fat,no,0,11:50,Weather
Econometrics and Operations Research,no,no,yes,no,female,fat,no,0,11:50,unknown
Finance,no,no,yes,no,male,fat,no,5,00:30,Weather
Finance,no,no,yes,no,male,fat,no,5,00:30,unknown
Computational Science,yes,unknown,yes,yes,male,neither,no,80,03:00,Work
Computational Science,yes,unknown,yes,yes,male,neither,no,80,03:00,unknown
Artificial Intelligence,no,no,yes,yes,male,no idea,no,5,01:15,Animals
Artificial Intelligence,no,no,yes,yes,male,no idea,no,5,01:15,Weather
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.5,23:30,Animals
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.5,23:30,Weather
Finance,no,no,yes,no,male,no idea,no,14,03:30,Coffee
Finance,no,no,yes,no,male,no idea,no,14,03:30,Weather
Human Movement Science,no,no,yes,no,female,no idea,no,0.4,00:30,Coffee
Human Movement Science,no,no,yes,no,female,no idea,no,0.4,00:30,Weather
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,20,01:34,Coffee
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,20,01:34,Weather
Artificial Intelligence,yes,no,yes,no,male,no idea,no,15,23:00,Coffee
Artificial Intelligence,yes,no,yes,no,male,no idea,no,15,23:00,Weather
Econometrics and Operations Research,no,no,yes,no,female,no idea,yes,0.003,00:00,Coffee
Econometrics and Operations Research,no,no,yes,no,female,no idea,yes,0.003,00:00,Weather
Business Analytics,yes,yes,yes,yes,female,fat,no,25,23:15,Food
Business Analytics,yes,yes,yes,yes,female,fat,no,25,23:15,Weather
Bioinformatics and Systems Biology,yes,yes,yes,yes,female,neither,no,0.3,23:30,Food
Bioinformatics and Systems Biology,yes,yes,yes,yes,female,neither,no,0.3,23:30,Weather
Bioinformatics and Systems Biology,no,no,yes,no,female,fat,no,0.25,23:30,Food
Bioinformatics and Systems Biology,no,no,yes,no,female,fat,no,0.25,23:30,Weather
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,0.5,00:00,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,0.5,00:00,Weather
Artificial Intelligence,no,no,yes,no,male,neither,no,3,02:00,Free time
Artificial Intelligence,no,no,yes,no,male,neither,no,3,02:00,Weather
Artificial Intelligence,yes,yes,yes,no,female,fat,no,0.25,02:00,Friends
Artificial Intelligence,yes,yes,yes,no,female,fat,no,0.25,02:00,Weather
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.4,03:00,Friends
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.4,03:00,Weather
Business Analytics,yes,yes,yes,yes,male,neither,no,42,00:00,Fun
Business Analytics,yes,yes,yes,yes,male,neither,no,42,00:00,Weather
